id,question,start_date,end_date,prob,volume,liquidity
540817,New Rihanna Album before GTA VI?,2025-05-02T15:48:10.582Z,2026-07-31T12:00:00Z,"[""0.515"", ""0.485""]",735688.2675070018,12458.3787
540818,New Playboi Carti Album before GTA VI?,2025-05-02T15:48:10.837Z,2026-07-31T12:00:00Z,"[""0.555"", ""0.445""]",735013.9213429474,11664.6158
540819,Will Jesus Christ return before GTA VI?,2025-05-02T15:48:16.854Z,2026-07-31T12:00:00Z,"[""0.485"", ""0.515""]",11416962.960444884,379695.1499
540820,Trump out as President before GTA VI?,2025-05-02T15:48:17.107Z,2026-07-31T12:00:00Z,"[""0.495"", ""0.505""]",653797.6397060102,50776.4834
540843,Will China invades Taiwan before GTA VI?,2025-05-02T15:48:16.6Z,2026-07-31T12:00:00Z,"[""0.505"", ""0.495""]",1835638.1525020604,30794.1821
540844,Will bitcoin hit $1m before GTA VI?,2025-05-02T15:48:17.361Z,2026-07-31T12:00:00Z,"[""0.492"", ""0.508""]",4270601.08754655,92491.50783
540881,GTA VI released before June 2026?,2025-05-02T17:00:26.233Z,2026-05-31T12:00:00Z,"[""0.0035"", ""0.9965""]",14549709.65215206,96288.82522
544092,Will Harvey Weinstein be sentenced to no prison time?,2025-05-12T22:50:41.123Z,2025-12-31T12:00:00Z,"[""0.781"", ""0.219""]",358734.8807690016,3244.1047
544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,2025-05-12T22:50:42.117Z,2025-12-31T12:00:00Z,"[""0.0445"", ""0.9555""]",134080.64455100033,4894.43881
544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,2025-05-12T22:50:42.625Z,2025-12-31T12:00:00Z,"[""0.056"", ""0.944""]",83315.67375500053,2646.5191
544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,2025-05-12T22:50:42.371Z,2025-12-31T12:00:00Z,"[""0.0395"", ""0.9605""]",162596.8193329995,3434.81217
544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,2025-05-12T22:50:48.281Z,2025-12-31T12:00:00Z,"[""0.072"", ""0.928""]",205464.9787319997,3186.75304
